,Season,Week,Name,Pos,Team,Opp,Fantasy Sharks,Site 2,ESPN
171,2018,16,Robert Foster,WR,BUF,NEP,4.340000000000001,10.159999999999998,9.4
172,2018,16,Tyler Higbee,TE,LAR,ARI,3.095,3.59,3.8
173,2018,16,Trenton Cannon,RB,NYJ,GBP,4.725,6.78,8.3
174,2018,16,Devontae Booker,RB,DEN,OAK,4.74,3.5999999999999996,4.7
175,2018,16,Matt LaCosse,TE,DEN,OAK,4.615,5.050000000000001,5.9
176,2018,16,Jaylen Samuels,RB,PIT,NOS,4.505000000000001,6.8999999999999995,16.5
177,2018,16,Lee Smith,TE,OAK,DEN,2.6350000000000002,1.4500000000000002,1.7
178,2018,16,Rhett Ellison,TE,NYG,IND,3.055,2.68,1.8
179,2018,16,Charles Clay,TE,BUF,NEP,3.725,3.4000000000000004,5.2
180,2018,16,Jacquizz Rodgers,RB,TBB,DAL,3.1450000000000005,3.6,3.3
181,2018,16,Jarius Wright,WR,CAR,ATL,3.7300000000000004,1.67,7.7
182,2018,16,Darren Sproles,RB,PHI,HOU,2.8050000000000006,5.870000000000001,7.0
183,2018,16,Hayden Hurst,TE,BAL,LAC,2.6,2.66,1.3
184,2018,16,Blake Jarwin,TE,DAL,TBB,2.25,5.5200000000000005,6.9
185,2018,16,Chase Edmonds,RB,ARI,LAR,3.8549999999999995,4.970000000000001,4.3
186,2018,16,Rod Smith,RB,DAL,TBB,3.025,2.03,3.6
187,2018,16,Equanimeous St. Brown,WR,GBP,NYJ,3.1650000000000005,3.31,8.4
188,2018,16,Zach Pascal,WR,IND,NYG,3.07,3.7100000000000004,6.8
189,2018,16,Kyle Juszczyk,RB,SFO,CHI,3.1500000000000004,3.66,4.6
190,2018,16,Mike Gesicki,TE,MIA,JAC,2.565,2.64,4.8
191,2018,16,Ed Dickson,TE,SEA,KCC,2.755,3.35,4.6
192,2018,16,Ronald Jones,RB,TBB,DAL,2.705,0.96,3.0
193,2018,16,Isaiah McKenzie,WR,BUF,NEP,2.5800000000000005,8.080000000000002,7.3
194,2018,16,Dan Arnold,TE,NOS,PIT,2.31,0.45000000000000007,2.5
195,2018,16,Trent Sherfield,WR,ARI,LAR,2.475,6.58,6.8
196,2018,16,Josh Hill,TE,NOS,PIT,2.65,3.42,2.5
197,2018,16,Maxx Williams,TE,BAL,LAC,1.7300000000000002,2.0,0.6
198,2018,16,Garrett Celek,TE,SFO,CHI,2.105,0.9900000000000001,2.3
199,2018,16,Demetrius Harris,TE,KCC,SEA,2.72,2.5100000000000002,4.9
200,2018,16,Darren Fells,TE,CLE,CIN,1.5150000000000001,1.34,1.2
201,2018,16,Wayne Gallman,RB,NYG,IND,3.0100000000000002,2.01,4.1
202,2018,16,Ryan Griffin,TE,HOU,PHI,2.6350000000000002,3.92,3.4
203,2018,16,Ryan Griffin,QB,TBB,DAL,0.0,3.92,3.4
204,2018,16,Dalton Schultz,TE,DAL,TBB,0.895,2.43,2.9
205,2018,16,Jordan Akins,TE,HOU,PHI,1.8150000000000002,0.71,2.9
206,2018,16,Blake Bell,TE,JAC,MIA,1.1,1.65,3.0
207,2018,16,MyCole Pruitt,TE,TEN,WAS,0.9100000000000001,0.9400000000000002,3.6
208,2018,16,Darrel Williams,RB,KCC,SEA,1.6,6.32,6.7
209,2018,16,Nick O'Leary,TE,MIA,JAC,1.31,2.17,2.7
210,2018,16,Cody Core,WR,CIN,CLE,0.8350000000000001,5.640000000000001,7.9
