Season,Week,PID,Player,Pos,Team,Opp,aFPA,aFPA Rk,FFPts,Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Grade
2018,16,riverp1,Philip Rivers,QB,LAC,BAL,12.8,4,17.3,21.6,34.6,284.4,1.9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.2,0.0,0.0,A-Game
2018,16,allenj3,Josh Allen,QB,BUF,@NE,18.3,24,17.2,18.4,32.8,225.4,1.0,1.2,9.9,49.0,0.4,0.0,0.0,0.0,10.7,3.2,0.0,0.4,0.0,0.0,A-Game
2018,16,bradyt1,Tom Brady,QB,NE,BUF,12.1,3,17.1,23.3,35.0,271.7,1.7,0.7,0.8,2.4,0.2,0.0,0.0,0.0,13.1,0.2,0.0,0.2,0.0,0.0,A-Game
2018,16,trubim1,Mitch Trubisky,QB,CHI,@SF,19.6,29,17.1,21.0,33.1,246.3,1.6,1.0,3.9,24.5,0.2,0.0,0.0,0.0,11.9,1.6,0.0,0.3,0.0,0.0,A-Game
2018,16,cousik1,Kirk Cousins,QB,MIN,@DET,18.6,26,17.1,24.6,36.0,263.9,1.7,0.8,3.0,10.0,0.1,0.0,0.0,0.0,13.0,0.7,0.0,0.3,0.0,0.0,A-Game
2018,16,goffj1,Jared Goff,QB,LAR,@ARI,15.1,9,16.8,23.7,35.0,245.0,2.0,1.0,2.6,7.7,0.1,0.0,0.0,0.0,12.2,0.5,0.0,0.2,0.0,0.0,A-Game
2018,16,winstj1,Jameis Winston,QB,TB,@DAL,15.0,8,16.2,23.1,34.9,243.0,1.5,1.1,5.8,28.0,0.1,0.0,0.0,0.0,12.0,1.8,0.0,0.3,0.0,0.0,B-Game
2018,16,mariom1,Marcus Mariota,QB,TEN,WAS,16.8,16,15.7,19.4,29.4,214.8,1.3,0.9,5.7,31.9,0.2,0.0,0.0,0.0,10.5,2.1,0.0,0.3,0.0,0.0,B-Game
2018,16,folesn1,Nick Foles,QB,PHI,HOU,17.7,19,15.6,24.3,36.7,262.6,1.7,0.7,0.7,2.0,0.0,0.0,0.0,0.0,12.9,0.1,0.0,0.3,0.0,0.0,B-Game
2018,16,carrd2,Derek Carr,QB,OAK,DEN,14.1,5,14.9,23.2,35.7,251.1,1.5,0.7,1.2,4.3,0.1,0.0,0.0,0.0,12.3,0.3,0.0,0.3,0.0,0.0,B-Game
2018,16,heinit1,Taylor Heinicke,QB,CAR,ATL,19.6,30,14.5,22.4,33.5,223.7,1.2,1.2,7.7,27.8,0.2,0.0,0.0,0.0,11.2,1.8,0.0,0.3,0.0,0.0,B-Game
2018,16,darnos1,Sam Darnold,QB,NYJ,GB,17.8,20,14.4,19.6,33.0,247.4,1.4,1.0,1.9,8.9,0.1,0.0,0.0,0.0,11.7,0.6,0.0,0.3,0.0,0.0,B-Game
2018,16,keenuc1,Case Keenum,QB,DEN,@OAK,18.3,25,14.3,20.8,33.2,225.2,1.5,0.8,1.2,5.3,0.1,0.0,0.0,0.0,11.1,0.3,0.0,0.2,0.0,0.0,B-Game
2018,16,tanner1,Ryan Tannehill,QB,MIA,JAX,16.9,17,13.5,18.8,30.7,214.6,1.3,0.8,3.4,13.9,0.1,0.0,0.0,0.0,10.4,0.9,0.0,0.3,0.0,0.0,C-Game
2018,16,mullen1,Nick Mullens,QB,SF,CHI,14.6,7,13.3,20.5,34.2,239.5,1.5,1.1,0.6,2.7,0.0,0.0,0.0,0.0,11.5,0.2,0.0,0.3,0.0,0.0,C-Game
2018,16,staffm1,Matthew Stafford,QB,DET,MIN,9.9,1,12.7,21.9,34.3,231.5,1.3,1.0,1.5,5.3,0.1,0.0,0.0,0.0,11.4,0.3,0.0,0.2,0.0,0.0,C-Game
2018,16,mannie1,Eli Manning,QB,NYG,@IND,16.7,14,12.6,24.2,36.3,242.5,1.4,1.1,0.6,2.0,0.0,0.0,0.0,0.0,12.2,0.1,0.0,0.2,0.0,0.0,C-Game
2018,16,kesslc1,Cody Kessler,QB,JAX,@MIA,21.8,32,12.4,20.0,32.0,210.7,1.1,0.9,2.8,18.5,0.0,0.0,0.0,0.0,10.4,1.2,0.0,0.3,0.0,0.0,C-Game
2018,16,driskj1,Jeff Driskel,QB,CIN,@CLE,15.6,13,12.3,21.6,35.8,234.9,1.0,1.1,1.4,7.8,0.1,0.0,0.0,0.0,11.5,0.5,0.0,0.3,0.0,0.0,C-Game
2018,16,johnsj7,Josh Johnson,QB,WAS,@TEN,15.5,11,11.9,18.8,31.3,183.5,0.8,1.0,6.1,33.3,0.2,0.0,0.0,0.0,9.3,2.2,0.0,0.3,0.0,0.0,C-Game
2018,16,rosenj1,Josh Rosen,QB,ARI,LAR,16.8,15,11.2,20.5,34.4,221.6,1.1,1.4,1.6,9.2,0.1,0.0,0.0,0.0,10.9,0.6,0.0,0.3,0.0,0.0,C-Game
2018,16,hillt2,Taysom Hill,QB,NO,PIT,14.6,6,1.2,0.4,0.6,6.1,0.0,0.0,1.2,6.0,0.1,0.0,0.0,0.0,0.3,0.4,0.0,0.0,0.0,0.0,C-Game
2018,16,fitzpr1,Ryan Fitzpatrick,QB,TB,@DAL,15.0,8,1.2,1.6,2.4,18.3,0.1,0.1,0.4,1.9,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,C-Game
2018,16,ellioe1,Ezekiel Elliott,RB,DAL,TB,23.4,28,27.7,0.0,0.0,0.0,0.0,0.0,23.4,107.6,0.8,6.1,44.6,0.3,0.0,5.4,2.1,0.2,0.0,0.0,A-Game
2018,16,gurlet2,Todd Gurley,RB,LAR,@ARI,21.8,23,27.1,0.0,0.0,0.0,0.0,0.0,23.0,106.9,1.3,4.2,30.6,0.3,0.0,5.4,1.4,0.1,0.0,0.0,A-Game
2018,16,mccafc1,Christian McCaffrey,RB,CAR,ATL,22.0,24,24.8,0.0,0.0,0.0,0.0,0.0,13.9,75.7,0.7,6.7,50.3,0.3,0.0,3.8,2.3,0.2,0.0,0.0,A-Game
2018,16,barkls1,Saquon Barkley,RB,NYG,@IND,19.1,16,23.2,0.0,0.0,0.0,0.0,0.0,19.5,82.2,0.5,6.2,42.4,0.3,0.0,4.1,2.0,0.2,0.0,0.0,A-Game
2018,16,kamara1,Alvin Kamara,RB,NO,PIT,17.5,11,21.8,0.0,0.0,0.0,0.0,0.0,13.0,61.9,0.5,5.8,51.6,0.3,0.0,3.1,2.4,0.1,0.0,0.0,A-Game
2018,16,chubbn1,Nick Chubb,RB,CLE,CIN,27.5,32,20.8,0.0,0.0,0.0,0.0,0.0,24.1,103.7,0.8,2.6,25.7,0.2,0.0,5.2,1.2,0.2,0.0,0.0,A-Game
2018,16,mixonj1,Joe Mixon,RB,CIN,@CLE,22.5,26,20.7,0.0,0.0,0.0,0.0,0.0,19.5,84.0,0.8,4.4,31.7,0.1,0.0,4.2,1.5,0.2,0.0,0.0,A-Game
2018,16,gordom1,Melvin Gordon,RB,LAC,BAL,14.6,2,20.1,0.0,0.0,0.0,0.0,0.0,16.8,64.5,0.6,4.1,44.1,0.3,0.0,3.2,2.0,0.1,0.0,0.0,A-Game
2018,16,cookd1,Dalvin Cook,RB,MIN,@DET,16.1,8,19.4,0.0,0.0,0.0,0.0,0.0,15.2,74.0,0.5,4.4,34.3,0.2,0.0,3.7,1.6,0.1,0.0,0.0,A-Game
2018,16,willid9,Damien Williams,RB,KC,@SEA,18.9,15,18.5,0.0,0.0,0.0,0.0,0.0,11.9,55.4,0.4,5.2,42.5,0.2,0.0,2.8,1.9,0.1,0.0,0.0,A-Game
2018,16,johnsd12,David Johnson,RB,ARI,LAR,18.7,14,18.0,0.0,0.0,0.0,0.0,0.0,15.0,63.6,0.3,4.5,42.1,0.2,0.0,3.2,1.9,0.2,0.0,0.0,A-Game
2018,16,carsoc1,Chris Carson,RB,SEA,KC,22.6,27,17.8,0.0,0.0,0.0,0.0,0.0,16.5,79.7,0.7,2.9,24.2,0.1,0.0,4.0,1.1,0.1,0.0,0.0,A-Game
2018,16,lindsp1,Phillip Lindsay,RB,DEN,@OAK,20.7,21,17.0,0.0,0.0,0.0,0.0,0.0,19.7,89.9,0.6,2.6,15.8,0.1,0.0,4.5,0.7,0.2,0.0,0.0,A-Game
2018,16,willij10,Jamaal Williams,RB,GB,@NYJ,18.0,13,16.8,0.0,0.0,0.0,0.0,0.0,22.3,60.0,0.5,3.7,33.4,0.1,0.0,3.0,1.5,0.2,0.0,0.0,A-Game
2018,16,mackm1,Marlon Mack,RB,IND,NYG,25.8,31,16.0,0.0,0.0,0.0,0.0,0.0,19.2,88.4,0.7,1.5,11.3,0.1,0.0,4.4,0.5,0.1,0.0,0.0,A-Game
2018,16,cohent1,Tarik Cohen,RB,CHI,@SF,19.8,18,15.8,0.0,0.0,0.0,0.0,0.0,7.8,33.7,0.2,4.7,51.7,0.3,0.0,1.7,2.3,0.1,0.0,0.0,A-Game
2018,16,henryd1,Derrick Henry,RB,TEN,WAS,19.3,17,15.6,0.0,0.0,0.0,0.0,0.0,20.5,97.4,0.7,1.0,6.4,0.0,0.0,4.9,0.3,0.2,0.0,0.0,A-Game
2018,16,fournl1,Leonard Fournette,RB,JAX,@MIA,24.1,29,15.4,0.0,0.0,0.0,0.0,0.0,17.3,66.5,0.4,2.9,27.4,0.1,0.0,3.3,1.2,0.2,0.0,0.0,A-Game
2018,16,colemt1,Tevin Coleman,RB,ATL,@CAR,15.2,5,15.1,0.0,0.0,0.0,0.0,0.0,14.6,63.7,0.4,3.0,19.0,0.3,0.0,3.2,0.9,0.1,0.0,0.0,A-Game
2018,16,mcguie1,Elijah McGuire,RB,NYJ,GB,20.1,19,15.0,0.0,0.0,0.0,0.0,0.0,17.5,59.0,0.6,2.8,23.5,0.1,0.0,3.0,1.1,0.1,0.0,0.0,A-Game
2018,16,connej2,James Conner,RB,PIT,@NO,14.8,4,14.5,0.0,0.0,0.0,0.0,0.0,11.5,51.9,0.4,3.6,29.7,0.1,0.0,2.6,1.4,0.1,0.0,0.0,A-Game
2018,16,whitej4,James White,RB,NE,BUF,22.1,25,13.8,0.0,0.0,0.0,0.0,0.0,4.2,18.9,0.4,4.1,35.3,0.4,0.0,0.9,1.6,0.1,0.0,0.0,B-Game
2018,16,wilsoj2,Jeff Wilson,RB,SF,CHI,15.6,6,13.4,0.0,0.0,0.0,0.0,0.0,16.7,62.1,0.3,3.2,19.2,0.1,0.0,3.1,0.9,0.2,0.0,0.0,B-Game
2018,16,riddit1,Theo Riddick,RB,DET,MIN,17.9,12,13.2,0.0,0.0,0.0,0.0,0.0,4.9,20.3,0.0,5.1,47.5,0.3,0.0,1.0,2.2,0.1,0.0,0.0,B-Game
2018,16,drakek1,Kenyan Drake,RB,MIA,JAX,17.4,10,12.7,0.0,0.0,0.0,0.0,0.0,4.9,22.7,0.2,3.6,40.8,0.3,0.0,1.1,1.9,0.1,0.0,0.0,B-Game
2018,16,ingram1,Mark Ingram,RB,NO,PIT,17.5,11,12.3,0.0,0.0,0.0,0.0,0.0,11.3,50.5,0.5,2.3,16.7,0.1,0.0,2.5,0.8,0.1,0.0,0.0,B-Game
2018,16,richaj1,Jalen Richard,RB,OAK,DEN,14.5,1,12.0,0.0,0.0,0.0,0.0,0.0,4.6,26.4,0.1,4.2,35.1,0.2,0.0,1.3,1.6,0.1,0.0,0.0,B-Game
2018,16,lewisd1,Dion Lewis,RB,TEN,WAS,19.3,17,11.9,0.0,0.0,0.0,0.0,0.0,4.5,19.8,0.2,4.6,34.4,0.2,0.0,1.0,1.6,0.1,0.0,0.0,B-Game
2018,16,millel2,Lamar Miller,RB,HOU,@PHI,24.3,30,11.7,0.0,0.0,0.0,0.0,0.0,12.6,54.2,0.3,2.4,15.4,0.1,0.0,2.7,0.7,0.1,0.0,0.0,B-Game
2018,16,miches1,Sony Michel,RB,NE,BUF,22.1,25,11.7,0.0,0.0,0.0,0.0,0.0,18.0,73.1,0.6,0.6,5.4,0.0,0.0,3.7,0.2,0.1,0.0,0.0,B-Game
2018,16,ballak1,Kalen Ballage,RB,MIA,JAX,17.4,10,11.5,0.0,0.0,0.0,0.0,0.0,16.8,61.8,0.4,1.7,10.7,0.1,0.0,3.1,0.5,0.2,0.0,0.0,B-Game
2018,16,fordk1,Keith Ford,RB,BUF,@NE,20.6,20,11.0,0.0,0.0,0.0,0.0,0.0,15.1,58.4,0.1,2.5,18.0,0.0,0.0,2.9,0.8,0.2,0.0,0.0,B-Game
2018,16,howarj1,Jordan Howard,RB,CHI,@SF,19.8,18,10.9,0.0,0.0,0.0,0.0,0.0,16.2,60.7,0.5,1.0,8.6,0.0,0.0,3.0,0.4,0.1,0.0,0.0,B-Game
2018,16,martid2,Doug Martin,RB,OAK,DEN,14.5,1,10.7,0.0,0.0,0.0,0.0,0.0,16.3,64.6,0.4,1.2,7.5,0.0,0.0,3.2,0.3,0.2,0.0,0.0,B-Game
2018,16,zennez1,Zach Zenner,RB,DET,MIN,17.9,12,10.6,0.0,0.0,0.0,0.0,0.0,10.8,45.9,0.3,2.4,16.2,0.1,0.0,2.3,0.7,0.1,0.0,0.0,B-Game
2018,16,edwarg1,Gus Edwards,RB,BAL,@LAC,21.8,22,10.5,0.0,0.0,0.0,0.0,0.0,19.4,83.4,0.4,0.0,0.0,0.0,0.0,4.2,0.0,0.2,0.0,0.0,B-Game
2018,16,barbep1,Peyton Barber,RB,TB,@DAL,16.4,9,10.2,0.0,0.0,0.0,0.0,0.0,14.4,53.2,0.4,1.6,7.8,0.0,0.0,2.7,0.4,0.1,0.0,0.0,C-Game
2018,16,ekelea1,Austin Ekeler,RB,LAC,BAL,14.6,2,10.0,0.0,0.0,0.0,0.0,0.0,6.9,31.7,0.1,2.6,28.4,0.2,0.0,1.6,1.3,0.1,0.0,0.0,C-Game
2018,16,davism3,Mike Davis,RB,SEA,KC,22.6,27,9.9,0.0,0.0,0.0,0.0,0.0,5.9,25.9,0.1,3.3,26.9,0.1,0.0,1.3,1.2,0.1,0.0,0.0,C-Game
2018,16,hinesn1,Nyheim Hines,RB,IND,NYG,25.8,31,9.1,0.0,0.0,0.0,0.0,0.0,4.2,16.2,0.1,3.7,25.3,0.1,0.0,0.8,1.2,0.1,0.0,0.0,C-Game
2018,16,yeldot1,T.J. Yeldon,RB,JAX,@MIA,24.1,29,9.1,0.0,0.0,0.0,0.0,0.0,3.9,17.2,0.1,3.4,27.4,0.1,0.0,0.9,1.3,0.1,0.0,0.0,C-Game
2018,16,samuej1,Jaylen Samuels,RB,PIT,@NO,14.8,4,8.4,0.0,0.0,0.0,0.0,0.0,6.6,24.7,0.1,2.7,20.8,0.1,0.0,1.2,1.0,0.1,0.0,0.0,C-Game
2018,16,johnsd11,Duke Johnson,RB,CLE,CIN,27.5,32,8.3,0.0,0.0,0.0,0.0,0.0,2.7,14.0,0.1,2.6,24.3,0.2,0.0,0.7,1.1,0.0,0.0,0.0,C-Game
2018,16,petera2,Adrian Peterson,RB,WAS,@TEN,14.7,3,8.2,0.0,0.0,0.0,0.0,0.0,14.2,51.0,0.3,0.9,6.4,0.0,0.0,2.6,0.3,0.1,0.0,0.0,C-Game
2018,16,bernag1,Giovani Bernard,RB,CIN,@CLE,22.5,26,8.0,0.0,0.0,0.0,0.0,0.0,3.5,15.0,0.1,3.3,22.3,0.1,0.0,0.8,1.0,0.1,0.0,0.0,C-Game
2018,16,adamsj3,Josh Adams,RB,PHI,HOU,15.6,7,7.9,0.0,0.0,0.0,0.0,0.0,13.3,51.3,0.4,0.4,2.6,0.0,0.0,2.6,0.1,0.1,0.0,0.0,C-Game
2018,16,dixonk1,Kenneth Dixon,RB,BAL,@LAC,21.8,22,7.9,0.0,0.0,0.0,0.0,0.0,6.4,34.5,0.2,1.6,15.6,0.0,0.0,1.7,0.7,0.1,0.0,0.0,C-Game
2018,16,cannot1,Trenton Cannon,RB,NYJ,GB,20.1,19,7.8,0.0,0.0,0.0,0.0,0.0,8.4,30.5,0.1,2.0,17.3,0.1,0.0,1.5,0.8,0.1,0.0,0.0,C-Game
2018,16,thompc1,Chris Thompson,RB,WAS,@TEN,14.7,3,7.6,0.0,0.0,0.0,0.0,0.0,4.9,20.0,0.1,3.0,18.4,0.1,0.0,1.0,0.8,0.1,0.0,0.0,C-Game
2018,16,sprold1,Darren Sproles,RB,PHI,HOU,15.6,7,7.6,0.0,0.0,0.0,0.0,0.0,2.1,9.6,0.1,2.7,23.6,0.1,0.0,0.5,1.1,0.0,0.0,0.0,C-Game
2018,16,smallw1,Wendell Smallwood,RB,PHI,HOU,15.6,7,7.1,0.0,0.0,0.0,0.0,0.0,8.4,34.2,0.2,1.5,9.2,0.1,0.0,1.7,0.4,0.1,0.0,0.0,C-Game
2018,16,willid13,Darrel Williams,RB,KC,@SEA,18.9,15,6.8,0.0,0.0,0.0,0.0,0.0,5.4,24.0,0.2,1.8,12.2,0.1,0.0,1.2,0.6,0.0,0.0,0.0,C-Game
2018,16,edmonc1,Chase Edmonds,RB,ARI,LAR,18.7,14,5.9,0.0,0.0,0.0,0.0,0.0,6.7,29.8,0.1,1.4,8.9,0.0,0.0,1.5,0.4,0.1,0.0,0.0,C-Game
2018,16,freemr1,Royce Freeman,RB,DEN,@OAK,20.7,21,5.9,0.0,0.0,0.0,0.0,0.0,7.3,33.1,0.3,0.6,3.4,0.0,0.0,1.7,0.2,0.1,0.0,0.0,C-Game
2018,16,blounl1,LeGarrette Blount,RB,DET,MIN,17.9,12,5.6,0.0,0.0,0.0,0.0,0.0,8.5,35.2,0.3,0.4,2.3,0.0,0.0,1.8,0.1,0.1,0.0,0.0,C-Game
2018,16,murral1,Latavius Murray,RB,MIN,@DET,16.1,8,5.2,0.0,0.0,0.0,0.0,0.0,6.2,25.3,0.2,0.7,5.3,0.0,0.0,1.3,0.2,0.1,0.0,0.0,C-Game
2018,16,burkhr1,Rex Burkhead,RB,NE,BUF,22.1,25,5.0,0.0,0.0,0.0,0.0,0.0,4.7,19.5,0.1,1.4,10.9,0.1,0.0,1.0,0.5,0.0,0.0,0.0,C-Game
2018,16,hillb2,Brian Hill,RB,ATL,@CAR,15.2,5,4.9,0.0,0.0,0.0,0.0,0.0,7.3,23.8,0.1,1.0,6.8,0.0,0.0,1.2,0.3,0.1,0.0,0.0,C-Game
2018,16,rodgej1,Jacquizz Rodgers,RB,TB,@DAL,16.4,9,4.9,0.0,0.0,0.0,0.0,0.0,2.6,9.3,0.0,2.2,15.7,0.0,0.0,0.5,0.7,0.0,0.0,0.0,C-Game
2018,16,bluea1,Alfred Blue,RB,HOU,@PHI,24.3,30,4.9,0.0,0.0,0.0,0.0,0.0,6.5,22.9,0.2,1.0,7.7,0.0,0.0,1.1,0.4,0.1,0.0,0.0,C-Game
2018,16,booked1,Devontae Booker,RB,DEN,@OAK,20.7,21,4.5,0.0,0.0,0.0,0.0,0.0,0.5,2.6,0.0,2.1,16.9,0.1,0.0,0.1,0.8,0.0,0.0,0.0,C-Game
2018,16,juszck1,Kyle Juszczyk,RB,SF,CHI,15.6,6,4.4,0.0,0.0,0.0,0.0,0.0,0.3,1.4,0.0,2.0,19.2,0.1,0.0,0.1,0.9,0.0,0.0,0.0,C-Game
2018,16,morria1,Alfred Morris,RB,SF,CHI,15.6,6,3.6,0.0,0.0,0.0,0.0,0.0,4.9,19.9,0.1,0.6,6.0,0.0,0.0,1.0,0.3,0.1,0.0,0.0,C-Game
2018,16,boldeb1,Brandon Bolden,RB,MIA,JAX,17.4,10,3.5,0.0,0.0,0.0,0.0,0.0,3.5,27.7,0.1,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,C-Game
2018,16,foremd1,Donta Foreman,RB,HOU,@PHI,24.3,30,3.0,0.0,0.0,0.0,0.0,0.0,2.8,12.0,0.1,0.7,5.1,0.0,0.0,0.6,0.2,0.0,0.0,0.0,C-Game
2018,16,marshb2,Byron Marshall,RB,WAS,@TEN,14.7,3,2.8,0.0,0.0,0.0,0.0,0.0,1.7,5.5,0.0,1.3,7.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,C-Game
2018,16,washid1,DeAndre Washington,RB,OAK,DEN,14.5,1,2.8,0.0,0.0,0.0,0.0,0.0,3.0,10.2,0.1,0.7,5.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,C-Game
2018,16,willid14,David Williams,RB,JAX,@MIA,24.1,29,2.7,0.0,0.0,0.0,0.0,0.0,4.2,16.0,0.1,0.4,2.1,0.0,0.0,0.8,0.1,0.0,0.0,0.0,C-Game
2018,16,gallmw1,Wayne Gallman,RB,NYG,@IND,19.1,16,2.6,0.0,0.0,0.0,0.0,0.0,1.9,8.5,0.0,1.1,6.1,0.0,0.0,0.4,0.3,0.0,0.0,0.0,C-Game
2018,16,logant1,T.J. Logan,RB,ARI,LAR,18.7,14,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,7.8,0.0,0.0,0.0,0.4,0.0,0.0,0.0,C-Game
2018,16,smithr4,Rod Smith,RB,DAL,TB,23.4,28,2.3,0.0,0.0,0.0,0.0,0.0,3.3,13.4,0.0,0.6,3.9,0.0,0.0,0.7,0.2,0.0,0.0,0.0,C-Game
2018,16,jacksj2,Justin Jackson,RB,LAC,BAL,14.6,2,2.2,0.0,0.0,0.0,0.0,0.0,2.4,7.9,0.0,0.6,5.7,0.0,0.0,0.4,0.3,0.0,0.0,0.0,C-Game
2018,16,develj1,James Develin,RB,NE,BUF,22.1,25,2.2,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.2,0.5,2.7,0.0,0.0,0.0,0.1,0.0,0.0,0.0,C-Game
2018,16,westc2,Charcandrick West,RB,KC,@SEA,18.9,15,2.0,0.0,0.0,0.0,0.0,0.0,2.4,11.4,0.1,0.3,1.5,0.0,0.0,0.6,0.1,0.0,0.0,0.0,C-Game
2018,16,mizzet1,Taquan Mizzell,RB,CHI,@SF,19.8,18,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,7.4,0.0,0.0,0.0,0.3,0.0,0.0,0.0,C-Game
2018,16,wilkij2,Jordan Wilkins,RB,IND,NYG,25.8,31,1.6,0.0,0.0,0.0,0.0,0.0,1.1,4.2,0.1,0.5,2.8,0.0,0.0,0.2,0.1,0.0,0.0,0.0,C-Game
2018,16,davisj7,Justin Davis,RB,LAR,@ARI,21.8,23,1.4,0.0,0.0,0.0,0.0,0.0,0.9,5.6,0.0,0.5,2.5,0.0,0.0,0.3,0.1,0.0,0.0,0.0,C-Game
2018,16,jonesr1,Ronald Jones,RB,TB,@DAL,16.4,9,1.3,0.0,0.0,0.0,0.0,0.0,0.3,0.9,0.0,0.7,5.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,C-Game
2018,16,dayesm1,Matthew Dayes,RB,SF,CHI,15.6,6,1.3,0.0,0.0,0.0,0.0,0.0,1.5,4.5,0.0,0.4,2.4,0.0,0.0,0.2,0.1,0.0,0.0,0.0,C-Game
2018,16,sherma1,Anthony Sherman,RB,KC,@SEA,18.9,15,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,4.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,C-Game
2018,16,kellyj1,John Kelly,RB,LAR,@ARI,21.8,23,1.0,0.0,0.0,0.0,0.0,0.0,1.9,7.0,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,C-Game
2018,16,armaha1,Alexander Armah,RB,CAR,ATL,22.0,24,0.9,0.0,0.0,0.0,0.0,0.0,0.4,1.3,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,C-Game
2018,16,hamc1,C.J. Ham,RB,MIN,@DET,16.1,8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.6,0.0,0.0,0.0,0.1,0.0,0.0,0.0,C-Game
2018,16,pennye1,Elijhaa Penny,RB,NYG,@IND,19.1,16,0.7,0.0,0.0,0.0,0.0,0.0,1.7,7.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,C-Game
2018,16,smithk7,Keith Smith,RB,OAK,DEN,14.5,1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,C-Game
2018,16,dimarp1,Patrick DiMarco,RB,BUF,@NE,20.6,20,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,C-Game
2018,16,nixr1,Roosevelt Nix,RB,PIT,@NO,14.8,4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,C-Game
