Season,Week,PID,Player,Pos,Team,Opp,aFPA,aFPA Rk,FFPts,Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Grade
2018,16,mahomp1,Patrick Mahomes,QB,KC,@SEA,18.0,21,21.7,25.9,38.5,303.8,2.2,0.8,3.6,17.1,0.2,0.0,0.0,0.0,14.6,1.1,0.0,0.2,0.0,0.0,A-Game
2018,16,breesd1,Drew Brees,QB,NO,PIT,14.6,6,20.2,25.1,36.5,297.5,2.1,0.5,0.7,1.8,0.2,0.0,0.0,0.0,14.3,0.1,0.0,0.2,0.0,0.0,A-Game
2018,16,wilsor1,Russell Wilson,QB,SEA,KC,20.3,31,20.1,21.8,34.2,268.5,1.8,0.6,4.3,27.3,0.2,0.0,0.0,0.0,12.8,1.8,0.0,0.2,0.0,0.0,A-Game
2018,16,lucka1,Andrew Luck,QB,IND,NYG,15.2,10,18.8,24.5,36.6,281.4,2.0,0.9,3.4,11.4,0.1,0.0,0.0,0.0,13.6,0.7,0.0,0.2,0.0,0.0,A-Game
2018,16,roethb1,Ben Roethlisberger,QB,PIT,@NO,15.5,12,18.6,27.4,41.2,297.0,2.0,1.0,2.3,6.9,0.1,0.0,0.0,0.0,14.6,0.5,0.0,0.3,0.0,0.0,A-Game
2018,16,watsod1,Deshaun Watson,QB,HOU,@PHI,18.2,23,18.5,22.6,34.3,257.4,1.5,0.9,4.9,31.3,0.2,0.0,0.0,0.0,12.5,2.0,0.0,0.2,0.0,0.0,A-Game
2018,16,ryanm1,Matt Ryan,QB,ATL,@CAR,18.2,22,18.3,25.3,37.1,271.4,2.0,0.6,2.1,9.1,0.1,0.0,0.0,0.0,13.4,0.6,0.0,0.3,0.0,0.0,A-Game
2018,16,prescd1,Dak Prescott,QB,DAL,TB,17.0,18,18.3,23.7,33.8,262.5,1.8,0.8,2.0,11.4,0.3,0.0,0.0,0.0,12.8,0.7,0.0,0.2,0.0,0.0,A-Game
2018,16,mayfib1,Baker Mayfield,QB,CLE,CIN,19.0,27,17.7,22.0,34.3,270.0,1.8,0.9,1.9,10.6,0.2,0.0,0.0,0.0,12.9,0.7,0.0,0.2,0.0,0.0,A-Game
2018,16,rodgea1,Aaron Rodgers,QB,GB,@NYJ,19.0,28,17.4,22.1,35.8,257.2,1.5,0.4,4.0,17.1,0.1,0.0,0.0,0.0,12.4,1.1,0.0,0.3,0.0,0.0,A-Game
2018,16,jacksl1,Lamar Jackson,QB,BAL,@LAC,11.9,2,17.3,14.8,24.9,164.1,1.1,0.7,11.2,61.7,0.3,0.0,0.0,0.0,8.0,4.0,0.0,0.3,0.0,0.0,A-Game
